Team,Last 16,Quarter Finals,Semi Finals,Finals,Win
Brazil,90.2,68.6,50,34.9,25.1
Argentina,91,65.9,47.8,28.8,18.7
Spain,78.5,51.8,27.6,15.9,8.5
France,77.3,46.5,29.1,15.1,7.1
Belgium,77.3,44.9,23.8,13.2,6.2
Netherlands,80.5,51.2,25.9,12.8,6.3
Portugal,71.8,34.1,18.1,9.5,3.9
England,68.8,40.3,19.9,8.6,3.6
Uruguay,70.5,33.1,17.1,8.5,3.5
Denmark,64.7,32.5,17.7,7.7,2.9
Germany,60.6,32.7,14.4,6.8,2.6
Switzerland,52.4,25.4,11.6,5.1,2
Iran,56.7,28.8,11.9,4.5,1.5
Croatia,57.4,26.3,10.3,4.5,1.6
Ecuador,55.9,25.9,9.8,3.6,1.1
Serbia,43.9,19.3,7.6,3,0.9
USA,45.9,20.7,7.6,2.6,0.8
Mexico,46.1,17.5,7,2,0.5
South Korea,44,14.5,5.5,1.9,0.6
Senegal,44.7,18,5.8,1.8,0.4
Japan,35.7,14.5,4.7,1.8,0.6
Poland,40.8,14.3,5.4,1.6,0.4
Morocco,36.6,12.5,3.6,1.2,0.3
Australia,30.6,10,3.7,1,0.2
Wales,28.6,10.3,3,0.9,0.2
Tunisia,27.3,7.9,2.9,0.7,0.1
Costa Rica,25.3,8.8,2.5,0.7,0.1
Canada,28.7,8.6,2.2,0.6,0.1
Saudi Arabia,22,5.4,1.5,0.3,0
Qatar,19,4.7,1,0.2,0
Cameroon,13.5,3.1,0.6,0.1,0
Ghana,13.7,2.1,0.4,0.1,0
